Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Orient_X,Orient_Y,Orient_Z,Pressure,Lat,Lng,Alt,Speed
2025-10-18 17:46:00.146,0.9068798,9.35833,3.6131623,0.037949976,-0.08689552,0.06551525,25.743752,-39.768753,-14.00625,0.4553975,0.27867427,0.50547373,1006.15936,37.88836409,127.73982711,140.15179443359375,0.0
2025-10-18 17:46:00.164,0.11964113,9.044869,3.225525,-0.16913319,0.20143266,0.099723674,25.5375,-38.04375,-15.168751,0.45491493,0.2786562,0.5072167,1006.1381, , , , 
2025-10-18 17:46:00.184,0.34456646,8.781659,3.6490545,-0.2534325,0.30405796,0.13881902,25.44375,-40.7625,-17.325,0.45273948,0.27891174,0.50947934,1006.1381, , , , 
2025-10-18 17:46:00.204,0.997807,8.8701935,4.800002,-0.19173518,0.31444263,0.11133011,26.737501,-38.775,-17.1,0.4498818,0.2793114,0.512418,1006.12445, , , , 
2025-10-18 17:46:00.224,0.7680961,9.056833,5.271388,-0.087888174,0.11285727,0.05146536,23.643751,-39.24375,-13.668751,0.44772232,0.2797535,0.51463217,1006.12445, , , , 
2025-10-18 17:46:00.245,0.3684947,8.992228,4.723432,0.062995434,0.091477,0.102778,25.44375,-38.53125,-16.518751,0.44711176,0.27986258,0.5157235,1006.1159, , , , 
2025-10-18 17:46:00.264,0.44027936,8.927621,3.7256248,7.63581E-5,0.02367101,0.17424917,26.718752,-38.04375,-15.918751,0.44731602,0.2801589,0.516825,1006.1159, , , , 
2025-10-18 17:46:00.286,1.0935199,9.068798,4.115655,-0.12087487,0.06887501,0.15775582,25.687502,-39.506252,-16.331251,0.4473449,0.27900836,0.5184185,1006.1225, , , , 
2025-10-18 17:46:00.305,1.3351951,9.085547,4.022335,-0.14714205,0.25702137,0.10827578,25.725,-39.2625,-15.281251,0.44649377,0.2787996,0.51984453,1006.1225, , , , 
2025-10-18 17:46:00.326,1.4380864,9.413364,4.304688,-0.29802567,0.18249585,0.023976443,26.306252,-40.068752,-16.06875,0.44351688,0.27927682,0.52257854,1006.1274, , , , 
2025-10-18 17:46:00.345,1.1844472,9.2075815,5.2426744,-0.35666868,0.091477,-0.013286309,26.7,-39.018753,-18.16875,0.44086865,0.2782214,0.5239937,1006.1274, , , , 
2025-10-18 17:46:00.364,1.0959128,9.21476,6.0777693,-0.24915648,0.13729186,0.015424335,24.656252,-39.600002,-16.6875,0.43872836,0.27746472,0.5250733,1006.13544, , , , 
2025-10-18 17:46:00.384,0.33260235,9.915857,5.2139606,-0.002367101,0.03405571,0.10033454,26.025002,-38.475002,-15.50625,0.43661654,0.27710572,0.5266893,1006.13544, , , , 
2025-10-18 17:46:00.404,1.5864414,9.142975,4.017549,-0.1306487,-0.29092434,0.09728022,25.462502,-38.53125,-16.987501,0.43682787,0.276647,0.52722675,1006.15375, , , , 
2025-10-18 17:46:00.424,1.6534405,9.360723,4.4434714,-0.41775516,-0.3434587,-0.059101168,25.800001,-39.0,-16.837502,0.437542,0.27179778,0.5261987,1006.15375, , , , 
2025-10-18 17:46:00.445,1.753939,8.879765,5.642276,-0.56008667,-0.2451095,-0.09453133,25.81875,-39.73125,-17.56875,0.43530256,0.2678672,0.52592355,1006.17645, , , , 
2025-10-18 17:46:00.464,0.81834537,8.60459,6.250053,-0.50816315,0.034666575,-0.12079851,27.825,-38.643753,-19.706251,0.43303356,0.26511306,0.5257541,1006.17645, , , , 
2025-10-18 17:46:00.486,1.7228323,8.573483,6.4462643,-0.14775293,-0.14370593,-0.28451028,26.268751,-40.65,-20.6625,0.4277839,0.26408628,0.5265794,1006.2153, , , , 
2025-10-18 17:46:00.505,1.1581261,8.504091,6.4965134,-0.008475749,-0.3006982,-0.3602575,26.250002,-39.91875,-19.462502,0.42725977,0.26328266,0.5240202,1006.2153, , , , 
2025-10-18 17:46:00.524,0.7106683,8.382058,6.7381887,0.24442227,-0.2762636,-0.37308568,28.462502,-39.80625,-19.85625,0.42806903,0.2629079,0.5210422,1006.2375, , , , 
2025-10-18 17:46:00.545,0.45224348,8.157132,6.108876,0.52053314,-0.13271037,-0.37308568,28.06875,-38.86875,-19.706251,0.43012366,0.2645665,0.5169365,1006.2375, , , , 
2025-10-18 17:46:00.564,0.05742774,8.575876,5.003392,0.73250324,-0.3697259,-0.3584249,28.218752,-38.737503,-17.737501,0.43500975,0.2685041,0.5108981,1006.2519, , , , 
2025-10-18 17:46:00.584,-0.009571291,8.659625,3.9361932,0.71478814,-0.62689996,-0.3498728,28.800001,-40.912502,-17.98125,0.44135994,0.2704854,0.50443196,1006.2519, , , , 
2025-10-18 17:46:00.606,-0.0047856453,8.666803,3.4432719,0.5449678,-0.59452415,-0.32299474,27.91875,-40.143753,-17.306252,0.44804424,0.27099323,0.49752247,1006.2592, , , , 
2025-10-18 17:46:00.624,0.0071784677,8.9348,3.4049866,0.3342194,-0.28176138,-0.25518876,28.462502,-39.80625,-19.85625,0.4528124,0.27146336,0.4919975,1006.2592, , , , 
2025-10-18 17:46:00.644,0.7178468,8.860622,3.6323047,0.1295797,0.06704241,-0.25213444,28.10625,-39.24375,-17.38125,0.45451212,0.27304655,0.4891148,1006.2631, , , , 
2025-10-18 17:46:00.664,0.49292147,8.69791,4.098905,0.0721584,0.02489274,-0.34376416,26.94375,-40.725002,-18.712502,0.45425564,0.27530512,0.48722693,1006.2631, , , , 
2025-10-18 17:46:00.684,0.16510476,8.554341,4.6779685,0.12224931,-0.042302385,-0.31749696,29.38125,-40.96875,-18.65625,0.45383626,0.277205,0.4847467,1006.2614, , , , 
2025-10-18 17:46:00.706,0.124426775,8.386844,4.534399,0.27435464,-0.22556181,-0.29367325,29.00625,-40.0125,-19.125,0.45475158,0.27893767,0.48096505,1006.2614, , , , 
2025-10-18 17:46:00.724,-0.07178468,8.236095,4.2520456,0.37514734,-0.2762636,-0.26313,30.281252,-40.256252,-20.025002,0.45707488,0.27997425,0.47715285,1006.2614, , , , 
