Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Orient_X,Orient_Y,Orient_Z,Pressure,Lat,Lng,Alt,Speed
2026-03-20 21:50:51.830,-1.0289137,5.163711,7.2550383,0.17066035,0.3238347,-0.19257513,-19.181252,-13.387501,-41.9625,0.09751924,0.2718247,0.6933239,1002.9484,37.88750054,127.737367,177.19891357421875,0.92
2026-03-20 21:50:51.847,-2.7158537,5.7786665,5.4388857,-0.88002706,-1.0072397,-0.30863944,-17.456251,-14.19375,-41.625,0.098983206,0.26636675,0.6898278,1002.94135, , , , 
2026-03-20 21:50:51.867,-2.2588246,4.5272202,8.322237,-1.2630392,-0.8911753,-0.08689552,-19.893751,-13.106251,-39.9,0.098045215,0.25020298,0.6899533,1002.94135, , , , 
2026-03-20 21:50:51.887,-1.7515461,4.912465,8.3581295,-1.2984694,-0.8954514,-0.1424842,-18.956251,-11.26875,-38.7,0.09470263,0.23264101,0.69197214,1002.8947, , , , 
2026-03-20 21:50:51.907,-0.73459655,5.615955,8.26481,-1.4866158,-0.9522618,-0.41004297,-19.875,-11.493751,-39.206253,0.09145065,0.21788968,0.6924173,1002.8947, , , , 
2026-03-20 21:50:51.927,1.3734802,4.4147577,8.346166,-1.7211878,-1.3542109,-0.8107703,-20.90625,-9.13125,-36.46875,0.08759032,0.20061983,0.6910485,1002.89325, , , , 
2026-03-20 21:50:51.948,0.46899325,4.316652,9.401401,-1.9038365,-1.845957,-1.4509566,-21.300001,-7.5375004,-37.275,0.084554434,0.17854194,0.6859866,1002.89325, , , , 
2026-03-20 21:50:51.967,-0.9379865,4.1611185,11.207981,-1.7969351,-2.1403937,-1.7545564,-19.66875,-6.7500005,-37.5,0.08229395,0.15387186,0.67679924,1002.90326, , , , 
2026-03-20 21:50:51.987,-1.8975084,3.318845,12.062219,-1.2801435,-2.1251223,-1.7710497,-21.7875,-6.2250004,-36.693752,0.08264086,0.123897985,0.66177315,1002.90326, , , , 
2026-03-20 21:50:52.007,-2.8785655,3.3379877,10.700703,-0.9563852,-1.877722,-1.4833324,-21.73125,-5.9812503,-36.393753,0.0848036,0.10841849,0.65232027,1002.9655, , , , 
2026-03-20 21:50:52.028,-2.6464617,4.254439,10.4351,-0.73403037,-0.7250201,-0.19685118,-22.66875,-5.45625,-35.25,0.08668485,0.090407215,0.6419584,1002.9655, , , , 
2026-03-20 21:50:52.047,-2.1774685,3.495914,10.636097,-0.6289616,0.10758856,0.73960453,-24.31875,-4.875,-35.41875,0.08436809,0.08337556,0.6430272,1003.0588, , , , 
2026-03-20 21:50:52.067,-1.2562319,1.9669002,10.025927,-0.6307942,0.32749987,1.2044727,-23.56875,-6.1875005,-34.350002,0.07913005,0.08083051,0.65022594,1003.0588, , , , 
