timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545168813,-83,-86,-70,-79,-100,-71,-73,-100,-86,-71,-100
1763545168838,-83,-86,-70,-79,-100,-71,-73,-100,-86,-71,-100
1763545168863,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545168888,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545168913,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545168939,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545168964,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545168989,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169014,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169039,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169065,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169090,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169115,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169140,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169165,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169190,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169215,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169240,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169265,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169290,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169315,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169340,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1763545169365,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169392,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169417,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169442,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169471,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169496,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169521,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169546,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169571,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169596,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169621,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169646,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169671,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169697,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169723,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169748,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169773,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169798,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169823,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1763545169848,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169873,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169898,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169923,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169948,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169973,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545169998,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170023,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170048,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170074,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170098,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170123,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170148,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170174,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170199,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170224,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170250,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170275,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170301,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170326,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
1763545170351,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170376,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170401,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170426,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170452,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170476,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170501,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170526,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170551,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170577,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170602,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170628,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170653,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170678,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
