timestamp,pressure,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mag_bias_x,mag_bias_y,mag_bias_z,game_x,game_y,game_z,game_w,rot_x,rot_y,rot_z,rot_w,rot_accuracy,step
1763545029356,1009.7668,0.05623133,4.185645,8.338987,0.16394083,-0.13286309,0.035582874,50.943752,-43.537502,28.650002,46.950733,0.3361091,49.741684,0.16342528,0.14968568,0.6867873,0.69224966,0.031766444,0.21932742,0.9698709,0.10117665,-1.0,0
1763545029382,1009.7597,0.45164528,4.4668016,8.5423765,-0.021303909,0.170584,0.042760536,51.43125,-44.2125,26.306252,46.950733,0.3361091,49.741684,0.16282542,0.15079801,0.6873411,0.69159967,0.030736547,0.21978949,0.9698248,0.10093444,-1.0,0
1763545029407,1009.75507,-0.15732808,4.2478585,9.178269,-0.033521205,0.18081598,-0.026725333,54.581253,-44.86875,23.400002,46.950733,0.3361091,49.741684,0.15919453,0.1527527,0.68827564,0.6910864,0.026887799,0.21898249,0.97013235,0.10083147,-1.0,0
1763545029433,1009.75507,-0.56590253,4.137789,8.681161,0.051999863,-0.04046979,-0.007941242,53.5125,-42.6375,26.156252,46.950733,0.3361091,49.741684,0.15910272,0.15333681,0.6879704,0.69128203,0.026242014,0.21940196,0.97011375,0.10026681,-1.0,0
1763545029458,1009.76215,0.4671986,4.3040895,8.764311,-0.009544762,-0.043982264,0.06139191,50.86875,-42.65625,26.906252,46.950733,0.3361091,49.741684,0.15984915,0.15331805,0.6878651,0.69121885,0.026500018,0.2198998,0.9701425,0.0988199,-1.0,0
1763545029484,1009.7619,0.48095736,4.334598,8.838489,-0.040088,0.026419902,0.03161225,51.881252,-44.287502,25.35,46.950733,0.3361091,49.741684,0.16066656,0.1522869,0.6886353,0.69048995,0.027930493,0.21960177,0.9702118,0.098407246,-1.0,0
1763545029509,1009.7619,0.19920248,4.2837505,8.809774,-0.030314164,0.037568185,0.008093959,52.800003,-43.3125,25.2,46.950733,0.3361091,49.741684,0.16063853,0.152118,0.68884027,0.69032925,0.028124286,0.21943939,0.97022,0.09863294,-1.0,0
1763545029534,1009.7607,0.25124636,4.281956,9.166306,-0.08849903,0.058337588,0.004734202,51.225002,-43.125,26.268751,46.950733,0.3361091,49.741684,0.160209,0.15217537,0.6890131,0.69024396,0.027654251,0.21922477,0.9703452,0.098009944,-1.0,0
1763545029559,1009.7607,0.024526432,4.2251267,9.507881,-0.057650365,0.080634154,0.0067195124,51.525,-43.818752,25.66875,46.950733,0.3361091,49.741684,0.15945148,0.15188701,0.6892845,0.6902119,0.027318886,0.21851343,0.9705043,0.098117046,-1.0,0
1763545029584,1009.76337,0.06281159,4.456034,9.31466,0.054443322,0.03451386,0.025045456,53.662502,-44.325,23.00625,46.950733,0.3361091,49.741684,0.1582405,0.15219183,0.68975335,0.68995506,0.02610946,0.21799242,0.97074,0.09727,-1.0,0
1763545029609,1009.7614,0.028115666,4.3794637,8.347362,0.022678355,0.035124727,0.014813471,53.4,-43.256252,25.125002,46.950733,0.3361091,49.741684,0.15899119,0.15338723,0.68978196,0.68948895,0.025976935,0.21938786,0.9704479,0.09708292,-1.0,0
1763545029634,1009.7614,-0.034097724,4.2568316,8.795418,-0.057497647,-0.0010690134,0.0,51.393753,-42.24375,26.98125,46.950733,0.3361091,49.741684,0.15936525,0.15425424,0.6898019,0.68918926,0.025732825,0.22029407,0.9702668,0.09690524,-1.0,0
1763545029659,1009.76605,0.10887343,4.319643,9.260822,-0.04818196,-0.028710645,0.0073303776,53.11875,-43.275,24.075,46.950733,0.3361091,49.741684,0.1588419,0.15372033,0.6898828,0.6893483,0.025602624,0.21955682,0.970458,0.09669854,-1.0,0
1763545029684,1009.769,0.3499503,4.383053,9.236296,0.032757625,-0.051923506,-0.004581486,51.937504,-43.275,25.125002,46.950733,0.3361091,49.741684,0.15954575,0.15323798,0.68980175,0.68937427,0.0264999,0.21962349,0.9703909,0.09697807,-1.0,0
1763545029710,1009.769,0.07298109,4.631308,8.175676,0.1485165,-0.1517999,0.06826414,53.2125,-44.90625,25.556252,46.950733,0.3361091,49.741684,0.16090278,0.15353699,0.6896498,0.6891442,0.027400292,0.22070916,0.97011054,0.09706826,-1.0,0
1763545029735,1009.7751,0.60658056,4.7156553,7.95793,0.030161448,-0.12599087,0.062460925,56.437504,-43.55625,24.525002,46.950733,0.3361091,49.741684,0.1656489,0.15371041,0.68961287,0.6880172,0.031233475,0.22380999,0.9692525,0.09738131,-1.0,0
1763545029761,1009.7751,1.1557333,4.854439,8.546564,-0.08544471,-0.04734202,0.020769402,55.256252,-42.825,24.900002,46.950733,0.3361091,49.741684,0.1656489,0.15371041,0.68961287,0.6880172,0.031233475,0.22380999,0.9692525,0.09738131,-1.0,0
1763545029785,1009.779,0.6017949,4.7282176,8.652447,-0.08498656,0.12370012,-0.08552107,53.081253,-43.3125,26.7,46.950733,0.3361091,49.741684,0.16499464,0.15253255,0.689576,0.6884733,0.031620752,0.22246246,0.9694461,0.09841145,-1.0,0
1763545029811,1009.77264,0.45583272,4.730012,8.782257,-0.09308052,0.081397735,-0.09605849,52.218754,-42.506252,25.987501,46.950733,0.3361091,49.741684,0.1636689,0.15288751,0.68933886,0.68894833,0.030425524,0.22189274,0.9695368,0.09917813,-1.0,0
1763545029836,1009.77264,0.2943172,4.636692,8.757133,-0.06498074,0.055588696,-0.10476331,54.16875,-42.956253,27.656252,46.950733,0.3361091,49.741684,0.16319744,0.1533103,0.6884219,0.68988246,0.030243305,0.2218621,0.9692094,0.10244875,-1.0,0
1763545029861,1009.77094,0.4121637,4.7048874,8.953942,-0.12713623,0.085979216,-0.017867794,52.66875,-41.831253,24.806252,46.950733,0.3361091,49.741684,0.16260855,0.15368828,0.68821025,0.6901486,0.029611388,0.22177644,0.96918297,0.10306659,-1.0,0
1763545029886,1009.76825,0.3080759,4.6372905,9.05145,-0.06223185,0.066889696,-0.0051923506,53.156254,-43.03125,25.143751,46.950733,0.3361091,49.741684,0.16194613,0.15371646,0.6883695,0.69013923,0.029216757,0.22136323,0.96923655,0.10356252,-1.0,0
1763545029911,1009.76825,0.040677983,4.6378884,8.84806,0.026954409,-0.037415467,0.013897174,51.881252,-42.787502,25.725,46.950733,0.3361091,49.741684,0.16253874,0.15386228,0.6885005,0.6898366,0.029907918,0.22180614,0.9689971,0.10465228,-1.0,0
