Testbed,Device,Motion,Turn,Method,Pred End X (m),Pred End Y (m),True End X (m),True End Y (m),Final Position Error (m),Pred Heading (deg),Target Heading (deg),Heading Error (deg),File
test1,S22U,Looking,Left,Proposed,0.5352984901621834,-1.2214515416901155,0.0,0.0,1.3335997683964531,1090.1556302923757,-1080.0,10.15563029237569,test1_S22U_looking_left.csv
test1,S22U,Looking,Right,Proposed,1.2246901565262542,0.316305555636354,0.0,0.0,1.2648775371626786,-1064.8828225356133,1080.0,15.117177464386714,test1_S22U_looking_right.csv
test1,S22U,Swing,Left,Proposed,-3.863214115014378,2.6139533787804154,0.0,0.0,4.66445876441028,1050.3463683894686,-1080.0,29.65363161053142,test1_S22U_swing_left.csv
test1,S22U,Swing,Right,Proposed,5.072003465803165,7.975323359490401,0.0,0.0,9.451507913849122,-1036.2998295059829,1080.0,43.70017049401713,test1_S22U_swing_right.csv
test1,S22U,Calling,Left,Proposed,-2.7596708617576087,0.5542968678909863,0.0,0.0,2.814787431225978,1069.8645587119468,-1080.0,10.135441288053244,test1_S22U_calling_left.csv
test1,S22U,Calling,Right,Proposed,2.8449153873104,-0.2258285587115101,0.0,0.0,2.8538644149442702,-1070.3326070543767,1080.0,9.667392945623305,test1_S22U_calling_right.csv
test1,S20+,Looking,Left,Proposed,0.9727495339806894,-0.771533924020891,0.0,0.0,1.2415741024098088,1099.8811495179582,-1080.0,19.881149517958193,test1_S20P_looking_left.csv
test1,S20+,Looking,Right,Proposed,-0.4922484686664389,-0.3910653975178326,0.0,0.0,0.6286817160059885,-1067.660495856526,1080.0,12.33950414347396,test1_S20P_looking_right.csv
test1,S20+,Swing,Left,Proposed,-7.580349102457463,2.34379508316146,0.0,0.0,7.9344229725279645,1025.6033121342425,-1080.0,54.396687865757485,test1_S20P_swing_left.csv
test1,S20+,Swing,Right,Proposed,4.578570239648958,9.817116261484797,0.0,0.0,10.83231633266442,-1023.2721878100228,1080.0,56.72781218997716,test1_S20P_swing_right.csv
test1,S20+,Calling,Left,Proposed,-0.8728941798209444,0.3946876071558446,0.0,0.0,0.9579783694884169,1076.3858413839916,-1080.0,3.6141586160083534,test1_S20P_calling_left.csv
test1,S20+,Calling,Right,Proposed,1.0824242624003348,-1.0756496272987357,0.0,0.0,1.525996200696718,-1086.9090617955926,1080.0,6.909061795592606,test1_S20P_calling_right.csv
test2,S22U,Looking,-,Proposed,-1.2847370692960165,2.220160346255421,0.0,0.0,2.5650850473830897,10.766507850603011,0.0,10.766507850603011,test2_S22U_looking.csv
test2,S22U,Swing,-,Proposed,3.5412330873665967,9.773373355216988,0.0,0.0,10.395150721347205,-2.079311775596345,0.0,2.079311775596345,test2_S22U_swing.csv
test2,S22U,Calling,-,Proposed,-1.73639063420287,3.2196460792455524,0.0,0.0,3.658028609804563,-6.036549801390769,0.0,6.036549801390769,test2_S22U_calling.csv
test2,S20+,Looking,-,Proposed,-0.5611373126816105,-1.240288425541697,0.0,0.0,1.361319382884208,10.88098898465665,0.0,10.88098898465665,test2_S20P_looking.csv
test2,S20+,Swing,-,Proposed,6.073347128331973,15.15208567471021,0.0,0.0,16.323946999270017,17.56777061554925,0.0,17.56777061554925,test2_S20P_swing.csv
test2,S20+,Calling,-,Proposed,-0.2076959049581105,2.4171067376968645,0.0,0.0,2.4260137201499803,0.2394520126596823,0.0,0.2394520126596823,test2_S20P_calling.csv
test1,-,Looking,Left,Conventional PDR,1.2062930268901844,0.7741896711588501,0.0,0.0,1.4333570782093803,1078.8106692653562,-1080.0,1.1893307346438178,test1_looking_left.csv
test1,-,Looking,Right,Conventional PDR,-5.960288701098801,-3.367214158563508,0.0,0.0,6.8456681624277245,-1086.5661848027562,1080.0,6.566184802756197,test1_looking_right.csv
test1,-,Swing,Left,Conventional PDR,5.553308302088468,-3.744637547421693,0.0,0.0,6.69787604092559,1376.727792075974,-1080.0,296.7277920759741,test1_swing_left.csv
test1,-,Swing,Right,Conventional PDR,-11.386973141052495,-12.39087558643857,0.0,0.0,16.82845670623573,-957.9377805011441,1080.0,122.06221949885594,test1_swing_right.csv
test1,-,Calling,Left,Conventional PDR,-4.255462217975546,-2.101937493714164,0.0,0.0,4.746272212599982,1106.0462969139296,-1080.0,26.04629691392961,test1_calling_left.csv
test1,-,Calling,Right,Conventional PDR,-3.0859011021787985,1.8242431545085025,0.0,0.0,3.584780146564006,-1078.0272555192696,1080.0,1.9727444807303982,test1_calling_right.csv
test2,-,Looking,-,Conventional PDR,2.479944022211642,0.5020732890354851,0.0,0.0,2.5302568922672983,2.8736721436062056,0.0,2.8736721436062056,test2_looking.csv
test2,-,Swing,-,Conventional PDR,8.416504817703451,-3.8985079438633536,0.0,0.0,9.27555483703218,13.507959599724103,0.0,13.507959599724103,test2_swing.csv
test2,-,Calling,-,Conventional PDR,3.1012088945360645,-0.2416706877028056,0.0,0.0,3.1106110860800884,5.150998248126015,0.0,5.150998248126015,test2_calling.csv
