x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
0.5999661835317313,0.0063701348783887736,0.6083145008375473,0.6,1763545031095,-85,-80,-77,-100,-100,-54,-100,-100,-100,-100,-100
1.188106088006874,0.04097462020902653,3.367239301129962,0.5891570398807335,1763545031647,-85,-81,-77,-100,-93,-54,-100,-100,-100,-100,-100
1.8143060987509458,0.0850981739611862,4.030536301034083,0.6277526116644959,1763545032172,-83,-81,-78,-100,-93,-54,-100,-100,-100,-100,-100
2.4880501042308,0.1445483951880198,5.042638464113295,0.6763618216043518,1763545032650,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
3.1876113188446036,0.16932957772760043,2.028791311318659,0.7,1763545033129,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
3.8694913926108985,0.2092564192606265,3.351073763221147,0.6830480127153076,1763545033635,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
4.542742714245983,0.1858604442262018,-1.9902692747332784,0.6736577125894124,1763545034165,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
5.169253027785997,0.08595198338619962,-9.060564128281353,0.6344264130058146,1763545034668,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
5.663398995543135,-0.32167429326105257,-39.51958538012705,0.6405774105164346,1763545035124,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
5.907488675879319,-0.8330475124246,-64.48383093837357,0.5666412809920487,1763545035577,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
5.950981654994554,-1.3800228337574982,-85.45366692899414,0.5487017781815051,1763545036183,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
5.983161227085158,-1.9666303284795805,-86.8600681929163,0.5874894703090874,1763545036660,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
5.985058723831528,-2.5914909191511324,-89.82601203747937,0.6248634717026617,1763545037139,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
5.9776116885464905,-3.2597177472698604,-90.63850478681847,0.6682683234690632,1763545037641,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
5.9572925964951,-3.9538936219316563,-91.6766153131298,0.6944731891615848,1763545038169,-77,-70,-72,-100,-100,-58,-100,-100,-100,-100,-85
5.94646853680982,-4.565452130702047,-91.01398015410386,0.6116542895439663,1763545038627,-76,-67,-66,-100,-83,-58,-100,-100,-100,-100,-86
5.918401965726355,-5.178595336905324,-92.62087925280161,0.6137852423491599,1763545039157,-78,-69,-65,-100,-84,-61,-100,-100,-100,-100,-86
5.899519506017733,-5.7851449647300415,-91.7830955685101,0.6068434710029854,1763545039637,-79,-71,-68,-100,-86,-64,-100,-100,-100,-100,-89
5.85852027435163,-6.429752377032523,-93.63930495366816,0.6459099418591672,1763545040097,-78,-71,-69,-100,-86,-66,-100,-100,-100,-100,-89
5.839969516039473,-7.031770090455069,-91.76497122378483,0.6023034599838079,1763545040602,-74,-70,-65,-100,-82,-69,-95,-100,-100,-100,-100
5.940410411398377,-7.696188010309395,-81.40361404365075,0.6719669230580089,1763545041106,-69,-70,-64,-100,-82,-71,-95,-100,-100,-100,-83
6.332131621982417,-8.156983417800166,-49.6322069522601,0.6047957625397287,1763545041559,-70,-69,-61,-100,-80,-72,-100,-100,-100,-100,-83
6.866963638241679,-8.33934102352097,-18.82744613627741,0.565065997897742,1763545042091,-73,-69,-57,-100,-80,-73,-100,-100,-100,-100,-83
7.402706558593529,-8.359541983963819,-2.1593970983809774,0.5361236382682093,1763545042568,-71,-70,-53,-100,-81,-73,-100,-100,-100,-100,-100
7.996290479877763,-8.392017333746683,-3.131566111358107,0.5944716309048631,1763545043046,-69,-70,-51,-100,-82,-72,-100,-100,-100,-100,-83
8.598257535721258,-8.392970844740749,-0.09075597984596051,0.601967811019908,1763545043527,-68,-72,-50,-100,-81,-66,-100,-100,-100,-100,-84
