x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
0.5999873472922785,-0.0038965483667934885,-0.3720955757115361,0.6,1763545339118,-100,-83,-57,-100,-100,-100,-100,-100,-80,-100,-81
1.2398694644196397,0.05045366432506491,4.85492763630274,0.6421861641603971,1763545339748,-100,-82,-58,-100,-100,-100,-100,-100,-79,-100,-81
1.7396585659594963,0.06497447635411197,1.66419647963126,0.5,1763545340177,-100,-82,-56,-100,-100,-100,-100,-100,-80,-100,-81
2.3118344508084587,0.1133075770550616,4.82845220295584,0.5742136639144536,1763545340707,-100,-83,-56,-100,-100,-100,-100,-100,-80,-100,-81
2.88435026602739,0.1079839552040919,-0.5327578119861721,0.5725405659212361,1763545341235,-100,-83,-57,-100,-100,-100,-100,-100,-80,-100,-78
3.4965188053489866,0.1573142897813707,4.6071067525120375,0.6141529145454276,1763545341762,-100,-83,-56,-100,-100,-100,-100,-100,-76,-100,-75
4.093204241984832,0.1256387891039574,-3.03873773136046,0.597525604168118,1763545342313,-100,-100,-54,-100,-100,-100,-100,-100,-75,-100,-76
4.6732330868404315,0.11381723219230855,-1.1675825508159101,0.5801492998119846,1763545342847,-100,-82,-54,-100,-100,-100,-100,-100,-76,-100,-77
5.26371026997871,-0.0028428485195347575,-11.175949981955906,0.6018910850300162,1763545343378,-100,-82,-56,-100,-100,-100,-100,-100,-77,-100,-76
5.856240279817067,-0.2982909358281898,-26.501821651928935,0.6621037568639723,1763545343991,-100,-100,-55,-100,-100,-100,-100,-100,-75,-100,-75
6.269807265840595,-0.7525219688641174,-47.682853824338714,0.6142991806127297,1763545344423,-100,-100,-55,-100,-100,-100,-100,-100,-72,-100,-75
6.516678259078922,-1.3596805947251682,-67.87331704318478,0.655428778937847,1763545345004,-100,-100,-54,-100,-100,-100,-100,-100,-73,-100,-76
