x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
0.599305204497742,-0.02886644872372535,-2.7576073140625352,0.6,1763545168913,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1.1633781250599513,-0.03383898836156793,-0.5050732706906368,0.5640948376488037,1763545169471,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
1.7315080232474354,-0.0666967441213677,-3.3100104437449285,0.5690792680533105,1763545169973,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
2.3223602905780627,-0.07447188625185905,-0.7539230067413577,0.5909034224345736,1763545170476,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
2.9233377758248933,-0.10549370598977276,-2.9549246902393698,0.6017776093154815,1763545171006,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
3.5526588203490466,-0.12595901021444583,-1.862582678503023,0.6296537189265062,1763545171507,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
4.183760311806947,-0.18623825530643456,-5.4560172490677745,0.6339737217813102,1763545172009,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
4.795602047888721,-0.23656021595987178,-4.701805741194891,0.6139076557069199,1763545172513,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
5.3962226018733865,-0.3187974290096517,-7.796482144334592,0.6062243883901746,1763545173019,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
5.970681403313483,-0.3973957044543905,-7.790915318535068,0.5798108341992926,1763545173578,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
6.51970358663834,-0.5214373440760084,-12.731195905525562,0.5628602723081567,1763545174007,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
7.059410360246279,-0.5840609830680447,-6.618587094132837,0.5433278215211288,1763545174608,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
7.66208141052131,-0.6994168258982917,-10.835788641354066,0.6136117382471479,1763545175186,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
8.152235074236131,-1.0638970960991654,-36.63464327390937,0.6108162419408677,1763545175692,-76,-79,-71,-72,-79,-62,-69,-90,-78,-66,-89
