timestamp,x,y,TJ-00CB-0000047B-0000,TJ-00CB-00000481-0000,TJ-00CB-00000480-0000,TJ-00CB-00000486-0000,TJ-00CB-00000477-0000,TJ-00CB-0000047D-0000,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000483-0000,TJ-00CB-00000482-0000
0.0,0.0,0.0,-100,-79,-70,-80,-100,-76,-75,-100,-100,-74,-100
0.4,0.6507844621911806,-0.007163873178532103,-83,-86,-70,-79,-100,-71,-73,-100,-86,-71,-100
0.8,1.3023872671484438,-0.023859705346107207,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1.2000000000000002,1.9472340537974877,-0.04234279375934997,-79,-79,-70,-77,-100,-67,-72,-100,-84,-70,-100
1.6,2.588179701479234,-0.06201047380029154,-77,-77,-69,-76,-100,-66,-73,-82,-82,-71,-100
2.0,3.2314315796175594,-0.08388689165040641,-76,-76,-70,-76,-100,-67,-76,-82,-80,-75,-100
2.4000000000000004,3.8697945338515867,-0.12423906939295692,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
2.8000000000000003,4.454645192767078,-0.20563292555726115,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
3.2,5.024784866010394,-0.34600203873516105,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
3.6,5.5729433756662,-0.5548930414647465,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
4.0,6.092615162726833,-0.8479303578994343,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
4.4,6.562491163453735,-1.2217865611052594,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
4.800000000000001,6.976263508246155,-1.6749573599977277,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
5.2,7.319567044005977,-2.193941912416965,-75,-75,-69,-74,-84,-66,-67,-100,-79,-72,-95
5.6000000000000005,7.5876527907112115,-2.771136143383295,-75,-76,-71,-72,-83,-63,-71,-83,-79,-71,-95
6.0,7.772539982366938,-3.3948374083172785,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
6.4,7.883801301725554,-4.057646539244073,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
6.800000000000001,7.936537747879391,-4.736343366897854,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
7.2,7.964956466381709,-5.399105029020612,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
7.6000000000000005,7.991884064433076,-6.041834701228705,-76,-79,-71,-72,-79,-62,-69,-90,-78,-66,-89
8.0,8.017989075314222,-6.683081310356519,-76,-80,-77,-73,-83,-62,-67,-86,-78,-65,-100
8.4,8.044657084892673,-7.325444541410298,-77,-75,-79,-74,-83,-60,-69,-84,-77,-66,-100
8.8,8.096762453814868,-7.903115271301654,-78,-72,-81,-78,-100,-59,-71,-83,-75,-70,-100
9.200000000000001,8.185076547559058,-8.446167107939084,-78,-72,-81,-78,-100,-59,-71,-83,-75,-70,-100
9.600000000000001,8.32104794047319,-8.986944265103352,-79,-71,-81,-81,-100,-58,-75,-79,-74,-71,-100
10.0,8.511502277136433,-9.551938603736058,-100,-76,-82,-85,-100,-57,-79,-76,-75,-73,-91
10.4,8.740966757423411,-10.119122143015424,-85,-74,-82,-85,-100,-60,-82,-82,-77,-77,-91
