timestamp,x,y,TJ-00CB-0000047B-0000,TJ-00CB-00000481-0000,TJ-00CB-00000480-0000,TJ-00CB-00000486-0000,TJ-00CB-00000477-0000,TJ-00CB-0000047D-0000,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000483-0000,TJ-00CB-00000482-0000
0.0,0.0,0.0,-100,-65,-100,-100,-100,-78,-100,-76,-61,-100,-100
0.4,0.6444332277082143,-0.0029663743361104636,-100,-64,-100,-100,-100,-78,-100,-74,-61,-89,-100
0.8,1.2891470534351923,-0.0075961072482477205,-100,-61,-100,-100,-100,-79,-100,-75,-63,-89,-100
1.2000000000000002,1.9334085219952737,-0.014492172004885576,-100,-61,-100,-100,-100,-79,-100,-75,-63,-89,-100
1.6,2.5783348891269244,-0.025531569864450567,-100,-58,-100,-100,-81,-78,-100,-77,-63,-100,-100
2.0,3.2213946125866126,-0.03811427406009835,-100,-57,-100,-100,-82,-78,-100,-78,-63,-100,-100
2.4000000000000004,3.8657892218613092,-0.05362511173611084,-100,-56,-100,-100,-83,-83,-100,-79,-65,-85,-100
2.8000000000000003,4.510111475618603,-0.07239406703960906,-100,-56,-100,-100,-83,-81,-100,-79,-66,-85,-100
3.2,5.155357295097284,-0.09563932457522067,-100,-56,-100,-100,-83,-81,-100,-79,-66,-85,-100
3.6,5.79631867483388,-0.11793615267193167,-100,-55,-100,-100,-82,-79,-100,-77,-65,-88,-100
4.0,6.447313620750629,-0.14576133169828803,-100,-53,-100,-100,-81,-79,-100,-77,-64,-88,-100
4.4,7.088103607042125,-0.17359220844375556,-100,-52,-100,-100,-81,-78,-100,-77,-64,-100,-100
4.800000000000001,7.732463108322826,-0.20306355786850233,-100,-51,-100,-100,-81,-77,-100,-78,-64,-100,-100
5.2,8.373179280866813,-0.2335997969593373,-100,-51,-100,-100,-81,-77,-100,-78,-64,-100,-100
5.6000000000000005,9.014037583283518,-0.26232965832745725,-100,-48,-100,-100,-90,-77,-100,-75,-62,-100,-100
6.0,9.658340925143962,-0.292390234999058,-100,-45,-100,-100,-85,-76,-100,-75,-60,-100,-100
6.4,10.294386441675062,-0.31861567535988755,-100,-48,-100,-100,-81,-75,-100,-74,-60,-100,-100
6.800000000000001,10.93962380160446,-0.3492494284781453,-100,-51,-100,-100,-100,-76,-100,-74,-60,-100,-100
7.2,11.58014033926043,-0.37809094883674055,-100,-51,-100,-100,-100,-76,-100,-74,-60,-100,-100
7.6000000000000005,12.22166587578835,-0.40951139187614033,-100,-54,-100,-100,-100,-77,-100,-74,-58,-100,-100
8.0,12.859282851120014,-0.44111632208089935,-100,-56,-100,-100,-80,-77,-100,-74,-58,-100,-100
8.4,13.501310702037323,-0.4746916637798102,-100,-58,-100,-100,-81,-81,-100,-79,-57,-100,-100
8.8,14.143344121508349,-0.5088796910634797,-100,-59,-100,-100,-85,-100,-100,-79,-53,-100,-100
9.200000000000001,14.787374081252015,-0.5460150279271805,-100,-59,-100,-100,-85,-100,-100,-79,-53,-100,-100
9.600000000000001,15.43181164705172,-0.5855414336823541,-100,-61,-100,-100,-100,-77,-100,-79,-52,-100,-100
