timestamp,x,y,TJ-00CB-0000047B-0000,TJ-00CB-00000481-0000,TJ-00CB-00000480-0000,TJ-00CB-00000486-0000,TJ-00CB-00000477-0000,TJ-00CB-0000047D-0000,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000483-0000,TJ-00CB-00000482-0000
0.0,0.0,0.0,-100,-76,-100,-100,-100,-100,-100,-60,-100,-100,-66
0.4,0.5854607728564101,0.00010376051643089404,-84,-78,-100,-100,-100,-100,-100,-60,-100,-100,-64
0.8,1.1673770170437632,0.005400844970979238,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1.2000000000000002,1.752994580021097,0.008872611283580033,-79,-83,-100,-100,-100,-100,-100,-59,-100,-100,-62
1.6,2.3319598328301616,0.013437331512671171,-79,-77,-100,-100,-100,-79,-100,-62,-100,-100,-64
2.0,2.9062237765140817,0.026427874655387318,-81,-76,-100,-100,-100,-79,-100,-61,-100,-100,-67
2.4000000000000004,3.4859386694036925,0.04461473488977076,-80,-79,-100,-100,-100,-81,-100,-60,-100,-100,-67
2.8000000000000003,4.063881174145987,0.06902489765072084,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
3.2,4.645920063168266,0.08968830335685189,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
3.6,5.22806898336581,0.10767322465745778,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
4.0,5.804358979054085,0.1241589372086466,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
4.4,6.38487788314355,0.1391801607046564,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
4.800000000000001,6.967507227586904,0.14816271748647009,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
5.2,7.546747772160455,0.15896023824091488,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
5.6000000000000005,8.131936443783102,0.16530064170218156,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
6.0,8.714136548368428,0.17068744111778922,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
6.4,9.294500413345892,0.17237327167149116,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
6.800000000000001,9.882104353707465,0.1703791214778235,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
7.2,10.467067344677835,0.16594028791019674,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
7.6000000000000005,11.043260504057988,0.16361220344522334,-81,-74,-100,-100,-100,-86,-100,-45,-100,-100,-60
8.0,11.628282471762963,0.15511570095435032,-82,-79,-100,-100,-100,-83,-100,-50,-100,-100,-62
8.4,12.209660040956459,0.14321311183662105,-82,-81,-100,-100,-100,-83,-100,-55,-100,-100,-65
8.8,12.789020778219095,0.13060395170699443,-83,-83,-100,-100,-100,-85,-100,-57,-100,-100,-64
